iter	Passed	Remaining
0	270	270522
1	280	140143
2	288	95923
3	299	74498
4	307	61202
5	317	52662
6	328	46638
7	337	41851
8	347	38269
9	356	35276
10	366	32935
11	374	30857
12	383	29121
13	393	27682
14	402	26424
15	412	25381
16	421	24371
17	432	23597
18	441	22794
19	450	22059
20	460	21469
21	470	20893
22	479	20376
23	490	19956
24	500	19515
25	510	19124
26	520	18742
27	529	18390
28	540	18111
29	550	17787
30	561	17539
31	570	17248
32	580	16998
33	590	16771
34	600	16544
35	610	16340
36	621	16174
37	630	15962
38	641	15808
39	651	15637
40	660	15451
41	670	15288
42	678	15111
43	689	14976
44	699	14847
45	709	14719
46	721	14621
47	730	14493
48	738	14338
49	749	14235
50	759	14137
51	769	14034
52	779	13922
53	789	13827
54	799	13740
55	809	13644
56	820	13576
57	829	13472
58	838	13366
59	846	13257
60	857	13194
61	867	13126
62	877	13049
63	887	12985
64	897	12907
65	907	12840
66	919	12798
67	929	12744
68	939	12682
69	951	12638
70	959	12560
71	969	12496
72	979	12432
73	990	12390
74	999	12330
75	1008	12266
76	1018	12206
77	1028	12152
78	1038	12101
79	1050	12083
80	1062	12056
81	1072	12011
82	1082	11960
83	1092	11913
84	1102	11870
85	1113	11834
86	1122	11783
87	1133	11743
88	1153	11806
89	1171	11842
90	1188	11868
91	1201	11860
92	1214	11842
93	1224	11803
94	1240	11822
95	1254	11810
96	1264	11770
97	1273	11725
98	1283	11679
99	1291	11623
100	1301	11588
101	1318	11606
102	1338	11653
103	1363	11745
104	1373	11704
105	1384	11676
106	1397	11659
107	1411	11656
108	1420	11612
109	1431	11582
110	1442	11550
111	1451	11510
112	1461	11473
113	1470	11431
114	1481	11398
115	1492	11372
116	1502	11342
117	1513	11313
118	1524	11285
119	1534	11249
120	1545	11224
121	1555	11195
122	1565	11163
123	1576	11139
124	1586	11106
125	1596	11077
126	1607	11053
127	1615	11006
128	1626	10982
129	1636	10949
130	1647	10925
131	1657	10899
132	1666	10864
133	1676	10834
134	1687	10815
135	1697	10782
136	1708	10760
137	1715	10717
138	1726	10691
139	1735	10659
140	1745	10634
141	1755	10609
142	1765	10578
143	1775	10555
144	1786	10531
145	1795	10501
146	1807	10485
147	1816	10454
148	1825	10425
149	1835	10399
150	1845	10374
151	1855	10349
152	1864	10322
153	1875	10302
154	1884	10273
155	1893	10244
156	1904	10226
157	1914	10202
158	1923	10176
159	1932	10146
160	1943	10126
161	1992	10308
162	2024	10396
163	2047	10435
164	2057	10412
165	2088	10492
166	2107	10510
167	2116	10483
168	2126	10456
169	2137	10435
170	2146	10406
171	2156	10379
172	2165	10351
173	2176	10332
174	2185	10303
175	2196	10281
176	2210	10278
177	2222	10261
178	2234	10249
179	2245	10228
180	2257	10213
181	2269	10201
182	2283	10192
183	2296	10185
184	2310	10177
185	2322	10164
186	2336	10156
187	2347	10140
188	2359	10123
189	2372	10113
190	2385	10102
191	2396	10087
192	2408	10072
193	2424	10072
194	2439	10070
195	2449	10046
196	2460	10027
197	2472	10016
198	2484	9999
199	2495	9981
200	2506	9962
201	2517	9944
202	2529	9931
203	2540	9911
204	2551	9896
205	2563	9881
206	2575	9865
207	2587	9851
208	2600	9842
209	2611	9825
210	2622	9806
211	2634	9792
212	2646	9777
213	2659	9766
214	2674	9764
215	2687	9755
216	2701	9747
217	2715	9739
218	2729	9734
219	2741	9718
220	2754	9710
221	2768	9701
222	2780	9687
223	2793	9676
224	2806	9667
225	2819	9655
226	2831	9642
227	2846	9639
228	2859	9628
229	2875	9627
230	2893	9633
231	2906	9620
232	2920	9613
233	2935	9608
234	2954	9616
235	2965	9600
236	2976	9583
237	2990	9575
238	3003	9563
239	3018	9557
240	3031	9548
241	3046	9543
242	3058	9528
243	3070	9513
244	3083	9501
245	3094	9485
246	3105	9468
247	3119	9458
248	3131	9443
249	3142	9427
250	3154	9412
251	3166	9399
252	3180	9390
253	3191	9373
254	3203	9358
255	3215	9345
256	3228	9332
257	3238	9314
258	3250	9300
259	3261	9284
260	3271	9262
261	3285	9253
262	3300	9249
263	3314	9239
264	3326	9225
265	3337	9208
266	3350	9198
267	3363	9188
268	3378	9182
269	3390	9165
270	3400	9148
271	3413	9137
272	3427	9128
273	3442	9121
274	3466	9138
275	3478	9125
276	3490	9111
277	3501	9094
278	3514	9080
279	3523	9061
280	3533	9041
281	3544	9024
282	3553	9003
283	3563	8985
284	3575	8969
285	3584	8949
286	3594	8930
287	3605	8913
288	3615	8894
289	3625	8876
290	3635	8856
291	3645	8840
292	3656	8822
293	3665	8803
294	3676	8786
295	3686	8767
296	3696	8749
297	3707	8732
298	3716	8714
299	3725	8693
300	3736	8675
301	3745	8657
302	3756	8640
303	3765	8620
304	3776	8606
305	3786	8588
306	3796	8569
307	3807	8554
308	3816	8534
309	3826	8516
310	3837	8501
311	3846	8482
312	3857	8465
313	3867	8450
314	3878	8434
315	3888	8417
316	3898	8399
317	3908	8382
318	3919	8366
319	3928	8348
320	3939	8333
321	3949	8315
322	3958	8297
323	3969	8282
324	3979	8265
325	3990	8249
326	4000	8233
327	4010	8215
328	4020	8199
329	4029	8182
330	4040	8166
331	4050	8150
332	4060	8132
333	4070	8117
334	4079	8098
335	4089	8081
336	4100	8066
337	4109	8049
338	4120	8033
