iter	Passed	Remaining
0	14	14759
1	30	15324
2	40	13624
3	52	13069
4	64	12786
5	83	13803
6	96	13662
7	109	13563
8	119	13150
9	129	12799
10	140	12656
11	151	12447
12	162	12320
13	171	12081
14	183	12060
15	195	11993
16	206	11934
17	217	11859
18	228	11802
19	238	11701
20	250	11700
21	263	11692
22	273	11627
23	286	11641
24	296	11564
25	307	11514
26	318	11468
27	329	11450
28	342	11459
29	353	11423
30	363	11362
31	375	11364
32	387	11349
33	397	11305
34	410	11305
35	421	11300
36	431	11230
37	443	11225
38	454	11200
39	465	11170
40	477	11165
41	489	11154
42	500	11141
43	513	11152
44	524	11135
45	536	11130
46	548	11118
47	559	11094
48	571	11091
49	582	11059
50	593	11038
51	605	11030
52	615	11005
53	623	10916
54	634	10899
55	645	10881
56	656	10863
57	667	10841
58	678	10827
59	690	10816
60	702	10808
61	711	10765
62	723	10758
63	735	10760
64	746	10739
65	758	10732
66	770	10727
67	782	10725
68	793	10702
69	806	10710
70	817	10694
71	827	10671
72	840	10676
73	852	10663
74	863	10643
75	874	10636
76	885	10617
77	897	10606
78	908	10594
79	920	10586
80	932	10581
81	943	10563
82	954	10550
83	969	10574
84	980	10559
85	992	10545
86	1005	10551
87	1018	10552
88	1031	10559
89	1043	10550
90	1054	10535
91	1065	10517
92	1076	10502
93	1087	10484
94	1098	10464
95	1110	10453
96	1120	10432
97	1132	10422
98	1142	10397
99	1153	10383
100	1165	10375
101	1175	10346
102	1186	10336
103	1198	10326
104	1210	10320
105	1221	10302
106	1234	10303
107	1243	10272
108	1254	10251
109	1266	10245
110	1277	10231
111	1288	10218
112	1300	10210
113	1312	10200
114	1322	10179
115	1334	10171
116	1346	10163
117	1358	10153
118	1369	10138
119	1380	10125
120	1392	10115
121	1403	10099
122	1415	10089
123	1426	10079
124	1437	10062
125	1449	10054
126	1461	10047
127	1472	10034
128	1483	10018
129	1495	10010
130	1507	10000
131	1518	9983
132	1531	9982
133	1543	9977
134	1555	9968
135	1566	9953
136	1579	9947
137	1591	9938
138	1602	9925
139	1614	9915
140	1626	9910
141	1637	9897
142	1648	9881
143	1661	9876
144	1672	9864
145	1683	9849
146	1696	9845
147	1707	9832
148	1718	9816
149	1730	9805
150	1741	9793
151	1753	9782
152	1764	9769
153	1776	9761
154	1789	9757
155	1800	9742
156	1812	9731
157	1824	9723
158	1835	9706
159	1846	9694
160	1858	9687
161	1870	9678
162	1882	9664
163	1894	9656
164	1905	9644
165	1917	9633
166	1928	9620
167	1942	9617
168	1955	9617
169	1968	9611
170	1979	9598
171	1992	9591
172	2002	9572
173	2013	9556
174	2026	9553
175	2036	9536
176	2049	9528
177	2061	9519
178	2072	9503
179	2086	9504
180	2100	9504
181	2112	9496
182	2126	9493
183	2139	9489
184	2153	9486
185	2165	9479
186	2178	9471
187	2190	9463
188	2203	9453
189	2216	9449
190	2228	9441
191	2241	9432
192	2254	9424
193	2266	9414
194	2277	9403
195	2291	9400
196	2303	9389
197	2316	9383
198	2329	9375
199	2341	9365
200	2354	9358
201	2366	9350
202	2376	9331
203	2390	9326
204	2402	9316
205	2416	9312
206	2427	9301
207	2439	9289
208	2452	9281
209	2464	9269
210	2475	9258
211	2487	9247
212	2499	9234
213	2512	9226
214	2524	9217
215	2535	9204
216	2548	9197
217	2560	9186
218	2571	9172
219	2584	9164
220	2595	9150
221	2605	9130
222	2617	9121
223	2630	9113
224	2643	9106
225	2655	9094
226	2669	9089
227	2687	9098
228	2702	9098
229	2718	9099
230	2735	9105
231	2749	9100
232	2763	9095
233	2782	9107
234	2799	9114
235	2815	9116
236	2829	9107
237	2843	9103
238	2856	9096
239	2869	9086
240	2883	9081
241	2895	9070
242	2910	9066
243	2924	9060
244	2937	9051
245	2951	9047
246	2965	9039
247	2979	9033
248	2991	9023
249	3006	9019
250	3018	9008
251	3032	9001
252	3046	8996
253	3061	8990
254	3075	8985
255	3088	8976
256	3100	8965
257	3116	8962
258	3129	8953
259	3142	8944
260	3155	8934
261	3166	8919
262	3180	8911
263	3192	8899
264	3206	8894
265	3222	8892
266	3238	8890
267	3251	8880
268	3264	8872
269	3278	8864
270	3293	8858
271	3307	8852
272	3320	8843
273	3334	8834
274	3348	8828
275	3361	8818
276	3374	8808
277	3388	8799
278	3406	8803
279	3423	8803
280	3441	8805
281	3461	8814
282	3479	8815
283	3503	8833
284	3524	8842
285	3537	8832
286	3552	8825
287	3564	8813
288	3580	8808
289	3604	8823
290	3622	8826
291	3643	8834
292	3657	8826
293	3673	8821
294	3689	8816
295	3703	8809
296	3716	8797
297	3729	8786
298	3744	8779
299	3758	8770
300	3773	8762
301	3787	8753
302	3801	8744
303	3814	8733
304	3826	8719
305	3839	8708
306	3851	8694
307	3863	8680
308	3874	8665
309	3887	8652
310	3899	8638
311	3910	8622
312	3923	8612
313	3936	8599
314	3947	8583
315	3957	8565
316	3969	8552
317	3980	8537
318	3991	8521
319	4003	8508
320	4014	8492
321	4025	8476
322	4037	8462
323	4048	8447
324	4059	8431
325	4071	8417
326	4082	8403
327	4094	8388
328	4105	8372
329	4116	8357
330	4128	8344
331	4144	8338
332	4157	8327
333	4174	8323
334	4195	8328
335	4216	8332
336	4232	8327
337	4246	8317
338	4260	8307
339	4273	8295
340	4291	8292
341	4309	8291
342	4333	8299
343	4347	8290
344	4362	8281
345	4376	8271
346	4388	8258
347	4404	8251
348	4417	8240
349	4432	8231
350	4445	8218
351	4455	8202
352	4467	8187
353	4478	8173
354	4489	8157
355	4503	8147
356	4517	8135
357	4529	8123
358	4541	8108
359	4552	8092
360	4564	8079
361	4575	8064
362	4586	8048
363	4598	8035
364	4609	8019
365	4621	8005
366	4633	7991
367	4645	7977
368	4657	7964
369	4668	7949
370	4680	7934
371	4693	7923
372	4705	7909
373	4716	7894
374	4727	7879
375	4739	7865
376	4750	7850
377	4763	7838
378	4774	7823
379	4786	7809
380	4798	7795
381	4809	7780
382	4823	7771
383	4837	7760
384	4848	7745
385	4860	7730
386	4871	7717
387	4882	7701
388	4895	7689
389	4908	7677
390	4921	7664
391	4931	7648
392	4942	7634
393	4954	7620
394	4965	7604
395	4976	7589
396	4990	7579
397	5003	7568
398	5015	7554
399	5028	7542
400	5039	7527
401	5050	7513
402	5061	7498
403	5072	7483
404	5086	7473
405	5112	7479
406	5138	7486
407	5152	7476
408	5171	7473
409	5188	7465
410	5203	7456
411	5218	7447
412	5233	7437
413	5248	7429
414	5261	7417
415	5275	7406
416	5291	7398
417	5305	7387
418	5321	7379
419	5334	7367
420	5349	7357
421	5366	7349
422	5377	7335
423	5391	7324
424	5406	7314
425	5421	7304
426	5433	7291
427	5447	7280
428	5458	7265
429	5470	7252
430	5483	7239
431	5494	7224
432	5505	7209
433	5517	7195
434	5529	7181
435	5542	7169
436	5555	7157
437	5568	7145
438	5583	7135
439	5595	7121
440	5607	7108
441	5619	7094
442	5631	7080
443	5644	7067
444	5654	7052
445	5666	7039
446	5679	7026
447	5691	7013
448	5702	6997
449	5714	6984
450	5726	6970
451	5739	6958
452	5751	6944
453	5763	6931
454	5777	6920
455	5789	6906
456	5800	6891
457	5812	6878
458	5823	6864
459	5834	6849
460	5844	6833
461	5856	6819
462	5867	6804
463	5881	6794
464	5896	6784
465	5908	6770
466	5920	6756
467	5931	6742
468	5942	6728
469	5954	6714
470	5964	6698
471	5975	6684
472	5986	6670
473	5995	6653
474	6007	6639
475	6016	6623
476	6026	6607
477	6039	6595
478	6053	6583
479	6065	6571
480	6082	6563
481	6107	6563
482	6130	6561
483	6144	6550
484	6160	6541
485	6178	6534
486	6186	6516
487	6199	6503
488	6213	6493
489	6226	6480
490	6243	6472
491	6257	6460
492	6272	6450
493	6286	6439
494	6301	6428
495	6313	6415
496	6327	6404
497	6341	6392
498	6354	6380
499	6369	6369
500	6382	6357
501	6393	6342
502	6405	6329
503	6419	6317
504	6432	6305
505	6443	6290
506	6455	6277
507	6467	6263
508	6478	6249
509	6489	6234
510	6501	6221
511	6512	6207
512	6523	6192
513	6535	6179
514	6547	6166
515	6558	6151
516	6569	6137
517	6580	6123
518	6592	6109
519	6603	6095
